45, 1, 44, 0
43, 27, 42, 26
29, 12, 28, 13
42, 42, 43, 42
31, 9, 30, 8
37, 1, 36, 2
20, 39, 19, 38
45, 19, 44, 18
31, 23, 30, 22
9, 8, 10, 7
19, 11, 20, 10
36, 23, 35, 22
1, 38, 0, 37
18, 9, 17, 10
44, 15, 45, 16
23, 17, 22, 16
41, 32, 40, 31
28, 19, 27, 18
4, 22, 5, 21
40, 43, 39, 43
11, 4, 12, 4
35, 32, 34, 31
7, 22, 8, 21
26, 45, 25, 44
40, 41, 40, 40
21, 37, 20, 36
34, 9, 33, 8
44, 0, 43, 0
42, 26, 41, 25
28, 13, 27, 14
43, 42, 42, 43
30, 8, 29, 7
36, 2, 35, 3
19, 38, 18, 37
44, 18, 43, 17
30, 22, 29, 21
10, 7, 11, 7
20, 10, 21, 9
35, 22, 34, 21
0, 37, 1, 36
17, 10, 16, 11
45, 16, 45, 17
22, 16, 21, 15
40, 31, 40, 30
27, 18, 26, 17
5, 21, 6, 20
39, 43, 38, 42
12, 4, 13, 5
34, 31, 33, 30
8, 21, 9, 20
25, 44, 24, 43
40, 40, 41, 39
20, 36, 19, 35
33, 8, 32, 8
43, 0, 42, 0
41, 25, 40, 24
27, 14, 27, 15
42, 43, 41, 42
29, 7, 28, 6
35, 3, 34, 4
18, 37, 17, 36
43, 17, 42, 16
29, 21, 28, 20
11, 7, 12, 8
21, 9, 22, 8
34, 21, 33, 20
1, 36, 1, 35
16, 11, 16, 12
45, 17, 44, 18
21, 15, 20, 14
40, 30, 39, 29
26, 17, 25, 17
6, 20, 7, 19
38, 42, 38, 41
13, 5, 14, 6
33, 30, 32, 29
9, 20, 10, 19
24, 43, 23, 42
41, 39, 42, 38
19, 35, 19, 36
32, 8, 31, 9
42, 0, 41, 0
40, 24, 39, 23
27, 15, 28, 16
41, 42, 41, 41
28, 6, 27, 5
34, 4, 33, 5
17, 36, 16, 35
42, 16, 41, 15
28, 20, 27, 20
12, 8, 13, 9
22, 8, 23, 8
33, 20, 32, 19
1, 35, 2, 34
16, 12, 15, 13
44, 18, 43, 19
20, 14, 19, 13
39, 29, 38, 28
25, 17, 24, 16
7, 19, 8, 18
38, 41, 37, 40
14, 6, 15, 7
32, 29, 31, 28
10, 19, 11, 19
23, 42, 22, 41
42, 38, 42, 37
19, 36, 18, 36
31, 9, 30, 10
41, 0, 40, 0
39, 23, 38, 22
28, 16, 27, 17
41, 41, 41, 40
27, 5, 26, 4
33, 5, 33, 5
16, 35, 15, 34
41, 15, 40, 14
27, 20, 26, 21
13, 9, 14, 10
23, 8, 24, 7
32, 19, 31, 18
2, 34, 2, 33
15, 13, 14, 14
43, 19, 42, 20
19, 13, 18, 12
38, 28, 38, 27
24, 16, 23, 15
8, 18, 9, 17
37, 40, 36, 39
15, 7, 16, 7
31, 28, 30, 27
11, 19, 12, 18
22, 41, 21, 40
42, 37, 41, 36
18, 36, 17, 37
30, 10, 29, 11
40, 0, 39, 1
38, 22, 37, 21
27, 17, 26, 18
41, 40, 40, 39
26, 4, 25, 3
33, 5, 33, 5
15, 34, 14, 33
40, 14, 39, 13
26, 21, 25, 21
14, 10, 15, 11
24, 7, 25, 8
31, 18, 30, 17
2, 33, 3, 32
14, 14, 14, 15
42, 20, 41, 21
18, 12, 17, 13
38, 27, 39, 26
23, 15, 22, 14
9, 17, 10, 16
36, 39, 36, 38
16, 7, 17, 7
30, 27, 29, 26
12, 18, 13, 18
21, 40, 20, 39
41, 36, 40, 35
17, 37, 16, 38
29, 11, 28, 12
39, 1, 38, 0
37, 21, 36, 20
26, 18, 25, 19
40, 39, 39, 38
25, 3, 24, 2
33, 5, 33, 5
14, 33, 13, 32
39, 13, 38, 12
25, 21, 24, 22
15, 11, 16, 11
25, 8, 26, 9
30, 17, 29, 16
3, 32, 4, 31
14, 15, 13, 16
41, 21, 40, 22
17, 13, 16, 14
39, 26, 39, 26
22, 14, 21, 13
10, 16, 11, 15
36, 38, 35, 37
17, 7, 18, 8
29, 26, 28, 25
13, 18, 14, 18
20, 39, 19, 38
40, 35, 39, 34
16, 38, 15, 39
28, 12, 27, 13
38, 0, 37, 0
36, 20, 35, 19
25, 19, 24, 20
39, 38, 38, 37
24, 2, 23, 1
33, 5, 33, 5
13, 32, 12, 31
38, 12, 37, 11
24, 22, 23, 23
16, 11, 17, 12
26, 9, 27, 10
29, 16, 28, 15
4, 31, 5, 30
13, 16, 12, 17
40, 22, 39, 23
16, 14, 15, 13
39, 26, 39, 26
21, 13, 20, 13
11, 15, 12, 14
35, 37, 34, 36
18, 8, 19, 9
28, 25, 27, 24
14, 18, 15, 17
19, 38, 18, 37
39, 34, 38, 33
15, 39, 15, 39
27, 13, 26, 14
37, 0, 36, 0
35, 19, 34, 18
24, 20, 23, 21
38, 37, 37, 36
23, 1, 22, 0
33, 5, 33, 5
12, 31, 11, 30
37, 11, 36, 10
23, 23, 22, 24
17, 12, 18, 12
27, 10, 28, 11
28, 15, 28, 14
5, 30, 6, 29
12, 17, 12, 18
39, 23, 38, 24
15, 13, 14, 12
39, 26, 39, 26
20, 13, 19, 14
12, 14, 13, 14
34, 36, 34, 35
19, 9, 20, 10
27, 24, 27, 23
15, 17, 16, 16
18, 37, 17, 36
38, 33, 37, 32
15, 39, 15, 39
26, 14, 26, 15
36, 0, 35, 1
34, 18, 33, 17
23, 21, 22, 22
37, 36, 36, 35
22, 0, 22, 0
33, 5, 33, 5
11, 30, 11, 29
36, 10, 35, 9
22, 24, 21, 25
18, 12, 19, 12
28, 11, 29, 12
28, 14, 27, 13
6, 29, 6, 28
12, 18, 11, 19
38, 24, 37, 25
14, 12, 13, 11
39, 26, 39, 26
19, 14, 18, 14
13, 14, 14, 15
34, 35, 33, 34
20, 10, 21, 11
27, 23, 26, 22
16, 16, 17, 16
17, 36, 16, 35
37, 32, 36, 31
15, 39, 15, 39
26, 15, 26, 16
35, 1, 34, 2
33, 17, 32, 16
22, 22, 21, 23
36, 35, 35, 34
22, 0, 22, 0
33, 5, 33, 5
11, 29, 11, 28
35, 9, 34, 8
21, 25, 20, 26
19, 12, 20, 13
29, 12, 30, 13
27, 13, 26, 12
6, 28, 7, 27
11, 19, 10, 20
37, 25, 37, 26
13, 11, 12, 10
39, 26, 39, 26
18, 14, 17, 13
14, 15, 15, 16
33, 34, 32, 33
21, 11, 22, 12
26, 22, 27, 21
17, 16, 18, 15
16, 35, 15, 34
36, 31, 35, 30
15, 39, 15, 39
26, 16, 25, 17
34, 2, 33, 3
32, 16, 33, 15
21, 23, 20, 24
35, 34, 34, 33
22, 0, 22, 0
33, 5, 33, 5
11, 28, 10, 27
34, 8, 33, 7
20, 26, 19, 27
20, 13, 21, 14
30, 13, 31, 14
26, 12, 25, 11
7, 27, 6, 26
10, 20, 11, 21
37, 26, 37, 27
12, 10, 11, 9
39, 26, 39, 26
17, 13, 16, 13
15, 16, 16, 16
32, 33, 32, 32
22, 12, 23, 13
27, 21, 28, 20
18, 15, 19, 14
15, 34, 14, 33
35, 30, 35, 29
15, 39, 15, 39
25, 17, 24, 18
33, 3, 33, 3
33, 15, 34, 14
20, 24, 19, 25
34, 33, 34, 32
22, 0, 22, 0
33, 5, 33, 5
10, 27, 9, 27
33, 7, 32, 7
19, 27, 18, 28
21, 14, 22, 15
31, 14, 32, 15
25, 11, 24, 10
6, 26, 7, 26
11, 21, 12, 22
37, 27, 38, 28
11, 9, 10, 8
39, 26, 39, 26
16, 13, 15, 14
16, 16, 17, 15
32, 32, 31, 31
23, 13, 24, 14
28, 20, 29, 19
19, 14, 20, 13
14, 33, 13, 32
35, 29, 36, 28
15, 39, 15, 39
24, 18, 23, 19
33, 3, 33, 3
34, 14, 33, 13
19, 25, 18, 26
34, 32, 33, 31
22, 0, 22, 0
33, 5, 33, 5
9, 27, 8, 28
32, 7, 31, 6
18, 28, 17, 29
22, 15, 23, 16
